Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After
BFIN.JK,2018Q2,Investment Banking and Brokerage Services,1.912298157,6.604660635,1.90013E+13,1.3593E+13,27.36947726,28.83035359,1,0
BHIT.JK,2018Q2,Telecommunications Service Providers,0.160245159,-1.933341718,5.58382E+13,4.44092E+13,38.88829238,4.829253484,0,0
BIKA.JK,2018Q2,Real Estate Investment and Services Development,-0.189642521,-0.537275425,2.34969E+12,2.03431E+12,-40.17071211,-30.80803195,1,0
BIPI.JK,2018Q2,"Oil, Gas and Coal",2.616379269,12.22406984,1.82242E+13,1.33474E+13,-128.7713045,-27.49184695,0,0
BIPP.JK,2018Q2,Real Estate Investment and Services Development,-0.599031974,-0.767424779,1.72458E+12,8.73305E+11,-36.17314171,13.68832732,1,0
BIRD.JK,2018Q2,Travel and Leisure,1.397155722,1.854175709,6.55894E+12,1.64066E+12,2.783319677,-4.231274487,1,0
BISI.JK,2018Q2,Food Producers,-0.9775847,-1.126366302,2.18521E+12,2.76648E+11,-576.4652372,-32.52945033,0,0
BKDP.JK,2018Q2,Real Estate Investment and Services Development,-1.209381249,-1.916519192,7.7244E+11,2.83488E+11,88.83168608,18.90486664,1,0
BKSL.JK,2018Q2,Real Estate Investment and Services Development,0.832309126,1.352921622,1.52318E+13,5.95384E+12,-825.7881209,107.9250788,1,0
BLTA.JK,2018Q2,Industrial Transportation,1.962837588,4.790280043,1.14331E+12,6.64105E+11,-428.6987194,23.65232527,1,0
BLTZ.JK,2018Q2,Media,1.091837412,1.585144257,1.63998E+12,5.0143E+11,-19.34802858,37.87434128,1,0
BMSR.JK,2018Q2,Real Estate Investment and Services Development,0.195474032,0.747715887,5.35153E+11,4.24157E+11,39.61018647,23.72488666,1,0
BMTR.JK,2018Q2,Media,1.147363617,1.774960126,2.8743E+13,1.90947E+13,-1.983234921,0.6014833,1,0
BOGA.JK,2018Q2,Retailers,-0.070196246,-0.092177947,5.42443E+11,1.23363E+11,7.589901449,96.55409869,1,0
BOLT.JK,2018Q2,Automobiles and Parts,1.22905047,2.078892454,1.23522E+12,6.15835E+11,-30.84049987,1.75770615,1,0
BPFI.JK,2018Q2,Investment Banking and Brokerage Services,0.945437747,2.532883713,1.95618E+12,1.19639E+12,103.5234264,18.75600357,1,0
BPII.JK,2018Q2,Industrial Support Services,2.308536306,3.695249339,9.60747E+11,4.17235E+11,-18.61712679,2.346238876,1,0
BRAM.JK,2018Q2,Chemicals,1.139161706,1.428863896,4.41664E+12,1.54488E+12,-29.09342963,15.61127704,0,0
BRNA.JK,2018Q2,General Industrials,-1.963993658,-5.069496867,2.0922E+12,1.29225E+12,-107.0886397,2.947860441,1,0
BRPT.JK,2018Q2,Construction and Materials,1.568686929,2.309708769,9.67128E+13,7.9947E+13,19.69909576,24.52504841,0,0
BSDE.JK,2018Q2,Real Estate Investment and Services Development,0.159729685,0.007884294,5.13746E+13,2.28149E+13,-12.13495036,-43.29360051,1,0
BSSR.JK,2018Q2,"Oil, Gas and Coal",8.37175071,12.0870827,3.11715E+12,9.86612E+11,14.79201292,13.16432637,0,0
BTEK.JK,2018Q2,Food Producers,1.675231704,4.392756037,5.32396E+12,3.40238E+12,360.0169173,-8.547585265,0,0
BTON.JK,2018Q2,Industrial Metals and Mining,5.049283978,6.061741254,2.06781E+11,34072021040,586.0157702,50.58797833,1,0
BUDI.JK,2018Q2,Food Producers,0.370861851,0.92003332,2.99896E+12,1.79578E+12,-12.98546625,17.64265746,0,0
BUKK.JK,2018Q2,Construction and Materials,2.753951134,6.284001697,3.95646E+12,2.21482E+12,241.5184276,80.25417407,0,0
