Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH,Treated,After,Balanced
ASII.JK,2018Q2,Automobiles and Parts,2.228430353,4.210460704,3.09336E+14,1.81615E+14,6.346E+12,7.611592272,1.630181649,1,0,TRUE
ASSA.JK,2018Q2,Consumer Services,1.020675877,3.378319607,3.42426E+12,2.40502E+12,1.06485E+11,-7.189526191,-3.754705437,1,0,TRUE
BAYU.JK,2018Q2,Travel and Leisure,0.970597036,1.808075762,7.93539E+11,3.31246E+11,1544493430,-58.95201176,40.41096383,1,0,TRUE
BBLD.JK,2018Q2,Finance and Credit Services,0.266454772,1.062322915,4.75105E+12,3.26012E+12,20816000000,16.22903556,-0.317012429,0,0,TRUE
BCAP.JK,2018Q2,Investment Banking and Brokerage Services,0.198478437,0.719428093,1.86407E+13,1.45652E+13,96753000000,-167.43478,12.31716892,1,0,TRUE
BFIN.JK,2018Q2,Investment Banking and Brokerage Services,1.912298157,6.604660635,1.90013E+13,1.3593E+13,3.46383E+11,2.67251637,6.43746093,1,0,TRUE
BIRD.JK,2018Q2,Travel and Leisure,1.397155722,1.854175709,6.55894E+12,1.64066E+12,68567000000,-6.168131591,2.532423236,1,0,TRUE
BLTA.JK,2018Q2,Industrial Transportation,1.962837588,4.790280043,1.14331E+12,6.64105E+11,38180835200,-141.7635727,-0.256847482,1,0,TRUE
BMSR.JK,2018Q2,Real Estate Investment and Services Development,0.195474032,0.747715887,5.35153E+11,4.24157E+11,2236016480,65.33316497,-8.405425886,1,0,TRUE
BPFI.JK,2018Q2,Investment Banking and Brokerage Services,0.945437747,2.532883713,1.95618E+12,1.19639E+12,18961155720,-10.37218874,-11.50836156,1,0,TRUE
BPII.JK,2018Q2,Industrial Support Services,2.308536306,3.695249339,9.60747E+11,4.17235E+11,22211704910,4.345038028,27.49185211,1,0,TRUE
BSDE.JK,2018Q2,Real Estate Investment and Services Development,0.159729685,0.007884294,5.13746E+13,2.28149E+13,5.2351E+11,-77.71477499,-16.66650414,1,0,TRUE
BTEK.JK,2018Q2,Food Producers,1.675231704,4.392756037,5.32396E+12,3.40238E+12,126577860,52.66906443,17.99491714,0,0,TRUE
BTON.JK,2018Q2,Industrial Metals and Mining,5.049283978,6.061741254,2.06781E+11,34072021040,8659555700,112.6078039,-15.45760777,1,0,TRUE
BUDI.JK,2018Q2,Food Producers,0.370861851,0.92003332,2.99896E+12,1.79578E+12,27269000000,10.31448321,-0.278634041,0,0,TRUE
BUKK.JK,2018Q2,Construction and Materials,2.753951134,6.284001697,3.95646E+12,2.21482E+12,1.28199E+11,10.38481543,19.84536943,0,0,TRUE
