Stocks;Period;ROA;REV;TA;DER;IDX_IC;DiD_Period;DiD_Treatment;Ln_REV;Ln_Assets;ROA_perc;DER_perc
BHIT;2020Q2;0.0143279220;4074998000000;57613499000000;1.7220748639;IDXINDUST;1;1;29.0358913718;31.6847780138;1.4327921990;172.2074863890
BIPP;2019Q2;0.0039622514;34481773730;2063247282900;0.4913520693;IDXPROPERT;0;0;24.2636967237;28.3553022085;0.3962251370;49.1352069270
BIPP;2020Q2;0.0073261800;184561088540;2182353598250;0.5542639418;IDXPROPERT;1;0;25.9412463488;28.4114250426;0.7326180000;55.4263941812
BIRD;2019Q2;-0.0037260564;938099000000;7086504000000;0.1531310665;IDXTRANS;0;0;27.5671213241;29.5892132460;-0.3726056380;15.3131066470
BIRD;2020Q2;0.0227264337;266185000000;7630135000000;0.2334489115;IDXTRANS;1;0;26.3074573927;29.6631266544;2.2726433650;23.3448911500
BISI;2019Q2;0.0004330612;432810000000;2674293000000;0.1048454816;IDXNONCYC;0;0;26.7935646696;28.6147061623;0.0433061200;10.4845481590
BISI;2020Q2;0.0074067983;488997000000;2800977000000;0.0004021944;IDXNONCYC;1;0;26.9156221914;28.6609894008;0.7406798330;0.0402194410
BJBR;2019Q2;0.0057899916;1703119000000;120700455000000;1.0512643239;IDXFINANCE;0;1;28.1634823919;32.4243330137;0.5789991609;105.1264323930
BJBR;2020Q2;-0.0170701434;1812342000000;125319643000000;1.3336436904;IDXFINANCE;1;1;28.2256410475;32.4618887333;-1.7070143420;133.3643690360
BJTM;2019Q2;0.0039763258;1099448000000;68951774000000;0.0798487554;IDXFINANCE;0;1;27.7258293516;31.8644284486;0.3976325780;7.9848755400
BJTM;2020Q2;0.0010119156;1075076000000;75240142000000;0.0660514474;IDXFINANCE;1;1;27.7034124727;31.9517060077;0.1011915550;6.6051447360
BKSL;2019Q2;0.0030711684;515640547980;16252732184210;0.2055639390;IDXPROPERT;0;0;26.9686757472;30.4192821450;0.3071168370;20.5563939000
BKSL;2020Q2;0.0093534385;410509012720;17275272609210;0.3078888384;IDXPROPERT;1;0;26.7406637211;30.4802972660;0.9353438540;30.7888838400
BLTA;2019Q2;0.0172802314;97666050000;1025635118750;1.1579510243;IDXTRANS;0;0;25.3048198433;27.6563331647;1.7280231410;115.7951024310
BLTA;2020Q2;0.0132798561;62621285600;935687304400;0.9420666022;IDXTRANS;1;0;24.8603710828;27.5645471811;1.3279856073;94.2066602200
BLTZ;2019Q2;0.0201520409;292256501000;1762662662000;0.2749319489;IDXCYCLIC;0;1;26.4008976817;28.1978466579;2.0152040892;27.4931948920
BLTZ;2020Q2;0.0691448916;254519725000;2965320499000;1.2783916505;IDXCYCLIC;1;1;26.2626441748;28.7180062366;6.9144891598;127.8391650530
BMRI;2019Q2;0.0226436784;23370010000000;1235627826000000;0.9631729734;IDXFINANCE;0;1;30.7824746924;34.7503555970;2.2643678370;96.3172973380
BMRI;2020Q2;0.0088499379;21757982000000;1359441443000000;1.0494931534;IDXFINANCE;1;1;30.7110017946;34.8458503066;0.8849937850;104.9493153400
BMSR;2019Q2;0.0113336388;791356985200;559039833870;1.5916069900;IDXBASIC;0;0;27.3970150116;27.0494865667;1.1333638790;159.1606989980
BMSR;2020Q2;0.0143314216;705356670790;756984166790;1.7495347778;IDXBASIC;1;0;27.2819694278;27.3526081744;1.4331421580;174.9534777810
BNBR;2019Q2;0.0017036067;754091000000;14445209000000;0.7894060449;IDXINDUST;0;1;27.3487788873;30.3013839184;0.1703606670;78.9406044930
BNBR;2020Q2;-0.0845042680;555315000000;15128154000000;0.9899339679;IDXINDUST;1;1;27.0428013573;30.3475786270;-8.4504268040;98.9933967930
BNGA;2019Q2;-0.0043766705;4236577000000;271859622000000;0.4390507927;IDXFINANCE;0;1;29.0747767478;33.2363069534;-0.4376670496;43.9050792740
BNGA;2020Q2;-0.0109109205;4799112000000;274419467000000;0.3167159741;IDXFINANCE;1;1;29.1994520167;33.2456789531;-1.0910920501;31.6715974070
BNII;2019Q2;-0.0012816238;2642903000000;183638683000000;0.8747640483;IDXFINANCE;0;1;28.6028990502;32.8439912636;-0.1281623780;87.4764048280
BNII;2020Q2;0.0763117122;2483624000000;164121476000000;0.7448970993;IDXFINANCE;1;1;28.5407398998;32.7316279769;7.6311712230;74.4897099270
BOGA;2019Q2;0.0242364038;225944781650;571901434750;0.1661468531;IDXCYCLIC;0;1;26.1435564774;27.0722324966;2.4236403760;16.6146853120
BOGA;2020Q2;0.0875100412;244229865140;579936011160;0.1603380241;IDXCYCLIC;1;1;26.2213756890;27.0861836088;8.7510041232;16.0338024120
BOSS;2019Q2;0.0125857354;89180390880;536867715740;0.1206582027;IDXENERGY;0;1;25.2139270192;27.0090175617;1.2585735440;12.0658202650
BOSS;2020Q2;0.0056340846;81754071670;871638982200;1.0491078386;IDXENERGY;1;1;25.1269814518;27.4936411639;0.5634084579;104.9107838560
BPFI;2019Q2;0.0016228657;104273572820;1757788605630;1.1192879256;IDXFINANCE;0;1;25.3702837902;28.1950776609;0.1622865660;111.9287925550
BPFI;2020Q2;0.0220550370;89520770040;1613581425620;0.8715948102;IDXFINANCE;1;1;25.2177365028;28.1094773124;2.2055036979;87.1594810230
