Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH_YoY_in_percent,Treated,After_YoY
HOTL.JK,2020Q2,Travel and Leisure,-1.219673359,-5,1366909817110,1044068369780,-291.233437,-88.18966267,1,1
HRTA.JK,2020Q2,Personal Goods,1.651083187,3,2759711839650,1088740711130,7.23157222,12.78428567,1,1
HRUM.JK,2020Q2,"Oil, Gas and Coal",4.79728938,7,6617640235800,1901164640600,187.5184185,-38.68612843,0,1
IATA.JK,2020Q2,Travel and Leisure,-1.882125196,-4,950352533400,514303794000,117.5815677,-25.18755199,1,1
IBFN.JK,2020Q2,Finance and Credit Services,0.09867396,1,1507547175530,1221227476360,64.11778086,56.13936397,0,1
IBST.JK,2020Q2,Telecommunications Service Providers,0.21390919,0,9091475058740,2973208014770,35.18136008,19.63542526,0,1
ICBP.JK,2020Q2,Food Producers,3.461922156,5,43458424000000,14804768000000,43.21223318,1.529915189,0,1
ICON.JK,2020Q2,Real Estate Investment and Services Development,1.07363348,2,361056330810,186264691480,-21.75458975,-10.09665601,1,1
IDPR.JK,2020Q2,Construction and Materials,-4.061920682,-7,1784249098180,762004216140,-425.6433385,-20.83184906,0,1
IGAR.JK,2020Q2,General Industrials,2.851005776,3,667893177380,263316717090,-33.89064475,14.45605704,1,1
IIKP.JK,2020Q2,Food Producers,-0.698079625,-1,377810296040,24725318130,-20.42216989,9.560386247,0,1
IKAI.JK,2020Q2,Construction and Materials,-1.831579462,-3,1293901112000,449802998000,16.79848032,-47.56665142,0,1
IKBI.JK,2020Q2,Electronic and Electrical Equipment,-0.776812551,-1,1495199815000,364370852000,-146.7050208,-3.656801056,1,1
IMAS.JK,2020Q2,Automobiles and Parts,-0.472520946,-2,45399410402470,39103943501460,-27.54927037,-40.1652923,1,1
IMJS.JK,2020Q2,Consumer Services,0.060469118,1,26364886750130,23501612229010,8.341437242,23.22815448,1,1
IMPC.JK,2020Q2,General Industrials,-1.15556387,-2,2638605191140,1433672309720,-179.3029287,9.45314214,1,1
INAF.JK,2020Q2,Pharmaceuticals and Biotechnology,1.143135151,3,1555305636110,1055033558290,354.2393838,28.63334164,0,1
INAI.JK,2020Q2,Industrial Metals and Mining,0.112763745,0,1278313122530,957640127470,-14.99597921,17.82735146,1,1
INCF.JK,2020Q2,Chemicals,-0.956643167,-3,451889308260,322033752620,-485.7661506,-26.54507424,0,1
INCI.JK,2020Q2,Chemicals,0.884921806,1,435929287040,87008930070,648.8554186,2.618091111,0,1
