Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
ECII.JK,2020Q2,ECII.JK2020Q2,Retailers,-1.41576161,-2,1.63964E+12,3.54577E+11,539.0983554,-46.74482958,3.25,2.81,1,1
EKAD.JK,2020Q2,EKAD.JK2020Q2,Chemicals,1.694572904,2,9.83509E+11,1.13727E+11,19.28226536,-16.66561813,11.62,8.63,0,1
ELSA.JK,2020Q2,ELSA.JK2020Q2,"Oil, Gas and Coal",1.059394792,2,7.02242E+12,3.32149E+12,-14.61334797,-1.518732966,1.31,1.2,0,1
ELTY.JK,2020Q2,ELTY.JK2020Q2,Real Estate Investment and Services Development,-3.142095557,-4,1.23295E+13,4.91359E+12,-848.6789232,-15.68820714,1.56,1.01,1,1
EMDE.JK,2020Q2,EMDE.JK2020Q2,Real Estate Investment and Services Development,-0.754748355,-2,2.17897E+12,1.40678E+12,-21.98020356,-72.96904324,3.39,0.48,1,1
EMTK.JK,2020Q2,EMTK.JK2020Q2,Telecommunications Equipment,-0.09751506,-1,1.73365E+13,8.12583E+12,-110.4399362,-2.00999252,3.36,2.85,0,1
ENRG.JK,2020Q2,ENRG.JK2020Q2,"Oil, Gas and Coal",1.989660507,6,1.06227E+13,7.10608E+12,133.6789259,9.016685748,0.31,0.23,0,1
EPMT.JK,2020Q2,EPMT.JK2020Q2,Pharmaceuticals and Biotechnology,1.628602339,2,8.35367E+12,2.14979E+12,-8.848547447,0.519500356,3.31,2.01,0,1
ERAA.JK,2020Q2,ERAA.JK2020Q2,Retailers,0.147783565,0,9.06328E+12,4.13807E+12,-59.36083432,-19.85467247,1.67,0.66,1,1
ERTX.JK,2020Q2,ERTX.JK2020Q2,Personal Goods,0.292732779,1,1.0634E+12,8.95662E+11,33.11133998,-28.04359931,1.07,0.57,1,1
