Firm,Period,ICB Sector,ROA_in_percent,TA,Total Liabilities,FCF,GROWTH_YoY_in_percent,Treated,After_YoY,
GEMA.JK,2019Q2,Household Goods and Home Construction,0.118175233,1045672226270,679680932970,11344248150,57.08182455,0,0,
GEMA.JK,2020Q2,Household Goods and Home Construction,-0.289366091,862688313530,533250604070,1071280260,-34.99055165,0,1,
GEMS.JK,2020Q2,"Oil, Gas and Coal",2.6342845,11270042650200,6408974180000,564781634000,66.964095,0,1,
GEMS.JK,2019Q2,"Oil, Gas and Coal",2.060225357,9923500811250,5290519174200,40555087950,-49.89368126,0,0,
GGRM.JK,2019Q2,Tobacco,2.909721231,66700099000000,22288499000000,1726175000000,13.81718938,1,0,
GGRM.JK,2020Q2,Tobacco,1.761928732,79158868000000,24407363000000,1121480000000,-28.90879624,1,1,
GJTL.JK,2019Q2,Automobiles and Parts,-0.026458512,19302224000000,13292568000000,21183000000,-15.85361209,1,0,
GJTL.JK,2020Q2,Automobiles and Parts,1.355307229,18365879000000,12244104000000,504110000000,-122.0186912,1,1,
GMTD.JK,2019Q2,Real Estate Investment and Services Development,0.96104051,1230676629310,448801464430,11937380750,-46.97325435,1,0,
GMTD.JK,2020Q2,Real Estate Investment and Services Development,0.319292981,1102862041090,411483234510,3530595240,-62.62894501,1,1,
GPRA.JK,2019Q2,Real Estate Investment and Services Development,0.403128435,1541004736120,543683705370,22740656680,54.65380202,1,0,
GPRA.JK,2020Q2,Real Estate Investment and Services Development,-0.571854334,1820179869950,668360519270,12212445150,-11.9784597,1,1,
GWSA.JK,2019Q2,Real Estate Investment and Services Development,0.325246844,7514134768010,644317044880,18041054530,265.7637803,1,0,
GWSA.JK,2020Q2,Real Estate Investment and Services Development,0.076588345,7628495422340,636987252660,43835232020,-65.21223725,1,1,
HEXA.JK,2019Q2,Industrial Engineering,2.632902394,4841450111250,2322108472500,134695293750,118.0085441,1,0,
HEXA.JK,2020Q2,Industrial Engineering,3.024150732,3585164850000,945242486800,121372433800,-19.1684485,1,1,
HITS.JK,2020Q2,Industrial Transportation,2.523956522,3237588804000,2402915356000,118972396000,13.44319174,1,1,
HITS.JK,2019Q2,Industrial Transportation,2.296539405,3103588437300,2506210968300,37602321900,1.404643946,1,0,
HKMU.JK,2019Q2,Construction and Materials,2.271882381,1593157948720,962778353890,5005255180,57.53188968,0,0,
HKMU.JK,2020Q2,Construction and Materials,0.590983396,1884554238510,1169260488550,6335937520,-41.24913127,0,1,
HMSP.JK,2019Q2,Tobacco,6.98967116,43112611000000,14627986000000,3677377000000,11.63597142,1,0,
HMSP.JK,2020Q2,Tobacco,2.974695127,41904844000000,15292555000000,1624048000000,-57.0706071,1,1,
HRTA.JK,2020Q2,Personal Goods,1.651083187,2759711839650,1088740711130,2455303270,7.23157222,1,1,
HRTA.JK,2019Q2,Personal Goods,2.668012868,1853326706660,448836562020,42451777310,5.090015531,1,0,
HRUM.JK,2020Q2,"Oil, Gas and Coal",4.79728938,6617640235800,1901164640600,338359047800,187.5184185,0,1,
HRUM.JK,2019Q2,"Oil, Gas and Coal",1.637570718,6210696960000,1845827738750,139502596250,-26.44678599,0,0,
ICBP.JK,2020Q2,Food Producers,3.461922156,43458424000000,14804768000000,2072186000000,43.21223318,0,1,
ICBP.JK,2019Q2,Food Producers,3.549090006,37368164000000,13340232000000,1060998000000,13.96969282,0,0,
ICON.JK,2019Q2,Real Estate Investment and Services Development,0.816825645,386696844080,235849806430,1382650800,194.2786329,1,0,
ICON.JK,2020Q2,Real Estate Investment and Services Development,1.07363348,361056330810,186264691480,3904076250,-21.75458975,1,1,
IGAR.JK,2019Q2,General Industrials,2.23650432,594879235630,237787393140,10754325500,-4.675704469,1,0,
IGAR.JK,2020Q2,General Industrials,2.851005776,667893177380,263316717090,7921157220,-33.89064475,1,1,
INAF.JK,2020Q2,Pharmaceuticals and Biotechnology,1.143135151,1555305636110,1055033558290,19657567560,354.2393838,0,1,
INAF.JK,2019Q2,Pharmaceuticals and Biotechnology,-0.184450718,1399847472100,927558118220,1000786520,-70.83973423,0,0,
INCI.JK,2020Q2,Chemicals,0.884921806,435929287040,87008930070,15615961250,648.8554186,0,1,
INCI.JK,2019Q2,Chemicals,0.57052423,378945920630,57666345110,1594019400,-59.83818745,0,0,
INDF.JK,2020Q2,Food Producers,1.61041198,103395472000000,62871869000000,1461443000000,33.21967771,0,1,
INDF.JK,2019Q2,Food Producers,1.331966957,97367672000000,62905053000000,1194966000000,3.87016607,0,0,
INDR.JK,2019Q2,Personal Goods,0.314093674,10886011928750,5670503426250,63168977500,-65.2006435,1,0,
INDR.JK,2020Q2,Personal Goods,-0.421193086,10683369823400,5401121445200,9096186400,-214.4229246,1,1,
INDS.JK,2020Q2,Automobiles and Parts,-0.583110652,2843332367080,290707625150,49056179800,84.68217248,1,1,
INDS.JK,2019Q2,Automobiles and Parts,0.030540981,2516121829500,273274182590,703586910,-18.50913085,1,0,
INDY.JK,2019Q2,"Oil, Gas and Coal",0.151420674,50292434270000,37343877835000,276431476250,-56.69160327,0,0,
INDY.JK,2020Q2,"Oil, Gas and Coal",0.058023228,47766854491800,36692914718800,809269616000,-75.01587713,0,1,
INKP.JK,2020Q2,Industrial Materials,0.286970872,117848647080000,68549112100000,3529895400000,27.67786708,1,1,
INKP.JK,2019Q2,Industrial Materials,0.836367204,124870861875000,70403007480000,1733509830000,-34.89447315,1,0,
INPS.JK,2019Q2,Industrial Transportation,-0.798276055,486238153490,348143572780,4756436070,64.98697417,1,0,
INPS.JK,2020Q2,Industrial Transportation,-0.978499542,469972828030,335954538140,4031039900,-38.91282785,1,1,
INTP.JK,2019Q2,Construction and Materials,0.910484653,25852869000000,4016214000000,347735000000,980.2623568,0,0,
INTP.JK,2020Q2,Construction and Materials,0.255782002,27037394000000,3499253000000,124610000000,-104.40588,0,1,
IPCC.JK,2019Q2,Industrial Transportation,3.291687195,1281178144000,87130919000,46357338000,-49.29498769,1,0,
IPCC.JK,2020Q2,Industrial Transportation,-1.0631497,1925191829000,852157852000,4450545000,-170.3802938,1,1,
IPOL.JK,2019Q2,General Industrials,0.397373356,3959357421250,1890110203800,54128445150,19.83385527,1,0,
IPOL.JK,2020Q2,General Industrials,0.527896332,3862762597800,1908544832000,46521667000,-3.087283663,1,1,
ISAT.JK,2020Q2,Telecommunications Service Providers,0.451643542,61079475000000,48678596000000,1897492000000,59.34914447,0,1,
ISAT.JK,2019Q2,Telecommunications Service Providers,-0.073142201,55862548000000,45022432000000,248413000000,-7.831563479,0,0,
ITMA.JK,2019Q2,"Oil, Gas and Coal",2.970949399,1955340276250,4177599750,71255415000,64.02739173,0,0,
ITMA.JK,2020Q2,"Oil, Gas and Coal",2.267968908,2145667970000,4401632500,55426923750,-40.26990275,0,1,
ITMG.JK,2019Q2,"Oil, Gas and Coal",2.146462432,18704367375000,6139699625000,380951250000,-32.67786122,0,0,
ITMG.JK,2020Q2,"Oil, Gas and Coal",1.141406246,17422498060000,5092222340000,352968560000,-61.98080023,0,1,
JECC.JK,2020Q2,Technology Hardware & Equipment,-0.297809216,1512051050000,885995832000,16340624000,-10.4464401,0,1,
JECC.JK,2019Q2,Technology Hardware & Equipment,1.393481229,1986383992000,1449007603000,9138263000,-50.90206906,0,0,
JIHD.JK,2019Q2,Real Estate Investment and Services Development,0.294030534,6591969969000,3022358244000,43374375000,-84.23536675,1,0,
JIHD.JK,2020Q2,Real Estate Investment and Services Development,-1.180037795,6827022074000,3246788402000,443826000,-847.6241786,1,1,
JRPT.JK,2019Q2,Real Estate Investment and Services Development,2.30989188,11026479576000,4475955284000,253316299000,14.29121222,1,0,
JRPT.JK,2020Q2,Real Estate Investment and Services Development,1.713650313,11664690691000,4636546404000,199402257000,-16.80331444,1,1,
JSKY.JK,2019Q2,Alternative Energy,1.472356503,570829524610,358483067470,8709677280,22.77455432,0,0,
JSKY.JK,2020Q2,Alternative Energy,1.04156755,488917513250,265203686740,2495873880,-30.44228084,0,1,
KARW.JK,2020Q2,Personal Goods,1.14902698,276691645800,769636374200,7822113400,-100,1,1,
KARW.JK,2019Q2,Personal Goods,-0.065029225,341657336250,809159382500,6062167500,-100.8293373,1,0,
KDSI.JK,2019Q2,Household Goods and Home Construction,1.598368215,1414885425880,818239101650,16484755600,55.38682862,0,0,
KDSI.JK,2020Q2,Household Goods and Home Construction,0.864123163,1278707393200,649722937240,18691126550,-44.23680235,0,1,
KICI.JK,2019Q2,Household Goods and Home Construction,-0.586167748,154135103310,62184082600,222495710,-218.1988684,0,0,
KICI.JK,2020Q2,Household Goods and Home Construction,-0.354714952,158618861790,73417903700,20022110,-349.8746882,0,1,
KLBF.JK,2019Q2,Pharmaceuticals and Biotechnology,3.552581494,18813050576860,4148160712670,299301647830,5.880577641,0,0,
KLBF.JK,2020Q2,Pharmaceuticals and Biotechnology,3.306642516,22091102524240,5749540441180,601417612720,4.419210521,0,1,
KMTR.JK,2020Q2,Automobiles and Parts,3.17525077,4370394819860,2573193684690,149887033080,69.69715558,1,1,
KMTR.JK,2019Q2,Automobiles and Parts,1.600153266,4742857467630,2949920647610,73770707430,60.37146775,1,0,
KOPI.JK,2020Q2,"Oil, Gas and Coal",-2.05767404,173941344080,83141247490,5117184030,-40.39662135,0,1,
KOPI.JK,2019Q2,"Oil, Gas and Coal",3.087247613,164161337680,80403865870,6887483660,-202.2121014,0,0,
KPAS.JK,2020Q2,Medical Equipment and Services,-0.291586807,251933488760,109997388220,2425042490,2.756752775,0,1,
KPAS.JK,2019Q2,Medical Equipment and Services,0.079180333,237056060600,95223266060,1915274950,-31.93905584,0,0,
KRAH.JK,2020Q2,Industrial Engineering,-10.93193905,606055631090,507667491110,25058968980,182.9020983,1,1,
KRAH.JK,2019Q2,Industrial Engineering,-9.816841426,645953214550,412574116840,4068340320,-8.939034083,1,0,
LCKM.JK,2019Q2,Construction and Materials,1.290104814,131079983150,887156870,6683916750,5441.758074,0,0,
LCKM.JK,2020Q2,Construction and Materials,0.663642408,145511945020,14835962170,2294706500,-45.740486,0,1,
LINK.JK,2019Q2,Telecommunications Service Providers,4.294482333,6102227000000,1144314000000,88686000000,-3.154133606,0,0,
LINK.JK,2020Q2,Telecommunications Service Providers,3.574672838,7558351000000,2363287000000,77049000000,-11.97421116,0,1,
